Title,Price,Area,Category,Size,Bedrooms,Bathrooms
"Spring Ville Apartment, Ukay Perdana, Ampang",RM 300 000,AMPANG,Apartments,736 sq.ft.,3 Bedrooms,2 Bathrooms
"Oakleaf Park Condominium, Bukit Antarabangsa, Ampang",RM 300 000,AMPANG,Apartments,950 sq.ft.,3 Bedrooms,2 Bathrooms
Tiara Duta Ampang Corner Unit,RM 428 000,AMPANG,Apartments,1033 sq.ft.,3 Bedrooms,2 Bathrooms
The cheapest new smart home condo at ampang jelatek klcc,RM 230 000,AMPANG,Apartments,280 sq.ft.,1 Bedroom,1 Bathroom
Ampang -Jalan ampang M suites ( Near LRT Jelatek ) Bellow Market,RM 735 000,AMPANG,Apartments,1030 sq.ft.,2 Bedrooms,2 Bathrooms
"GOOD CONDITION Sri Ampang Hilir Condominium, Kuala Lumpur 1042sqft",RM 400 000,AMPANG,Apartments,1042 sq.ft.,2 Bedrooms,2 Bathrooms
[Near LRT] Suria Jelatek Residence Jalan Jelatek Kitchen Cabinet,RM 525 000,AMPANG,Apartments,1089 sq.ft.,3 Bedrooms,2 Bathrooms
"[Freehold] D-Villa Residence, Ampang Hilir (Holiday Villa}",RM 350 000,AMPANG,Apartments,600 sq.ft.,1 Bedroom,1 Bathroom
Mid High floor good renovated Ampang Boulevard Near to Ampang park,RM 408 000,AMPANG,Apartments,993 sq.ft.,3 Bedrooms,2 Bathrooms
Tiara dula condo ampang jaya for sales,RM 455 000,AMPANG,Apartments,1008 sq.ft.,3 Bedrooms,2 Bathrooms
Freehold M Suite condominium in Jalan Ampang Kuala Lumpur,RM 1 300 000,AMPANG,Apartments,1650 sq.ft.,4 Bedrooms,3 Bathrooms
Freehold M suite condominium off Jalan Ampang Kuala Lumpur,RM 1 300 000,AMPANG,Apartments,1650 sq.ft.,4 Bedrooms,3 Bathrooms
For sale : sri ampang hilir condominium,RM 400 000,AMPANG,Apartments,1042 sq.ft.,3 Bedrooms,2 Bathrooms
"Axis Crown Condominium, Jalan Cempaka, Pandan Indah Ampang, KL",RM 395 000,AMPANG,Apartments,890 sq.ft.,2 Bedrooms,2 Bathrooms
Sri ampang hilir condominium,RM 400 000,AMPANG,Apartments,1042 sq.ft.,3 Bedrooms,2 Bathrooms
"KOJAYA CONDOMINIUM , AMPANG , (5 mins to KPJ Ampang Puteri)",RM 370 000,AMPANG,Apartments,932 sq.ft.,4 Bedrooms,3 Bathrooms
"【199K 1R1B Tepi University & LRT】Below Market 30%, Return Tinggi",RM 220 000,AMPANG,Apartments,478 sq.ft.,2 Bedrooms,2 Bathrooms
Penthouse Menara Mutiara TAR Ampang,RM 850 000,AMPANG,Apartments,2699 sq.ft.,4 Bedrooms,3 Bathrooms
Cheapest Suria Jelatek Residence Ampang Hilir Close to LRT Station,RM 480 000,AMPANG,Apartments,1089 sq.ft.,3 Bedrooms,2 Bathrooms
Ampang Putra Residency for sale,RM 560 000,AMPANG,Apartments,1234 sq.ft.,3 Bedrooms,2 Bathrooms
"( Must View) Best Price, Residensi Chymes Gurney, Dato Keramat",RM 499 000,AMPANG,Apartments,995 sq.ft.,2 Bedrooms,2 Bathrooms
"Suria Jelatek Condo , Below Market , Grab It Now , Ampang Hilir KL",RM 418 000,AMPANG,Apartments,860 sq.ft.,3 Bedrooms,2 Bathrooms
